,Dia Disp,Ambient,Ref Temp on Bed,Spindle Rear,Coolantwall,Transfomerbed,Spindle Front,Time
0,44.096,19.14,19.18,21.14,20.22,20.23,21.15,0.009
1,47.422,19.14,19.26,21.35,20.43,20.3,21.31,0.056
2,49.576,19.28,19.3,21.57,20.56,20.38,21.57,0.094
3,52.336,19.38,19.36,21.79,20.69,20.43,21.79,0.133
4,53.764,19.48,19.38,22.0,20.79,20.48,21.97,0.172
5,53.474,19.54,19.42,22.2,20.86,20.51,22.15,0.21
6,53.272,19.55,19.45,22.42,20.93,20.57,22.32,0.249
7,53.9,19.61,19.47,22.61,21.0,20.61,22.46,0.288
8,55.342,19.7,19.5,22.79,21.09,20.64,22.62,0.326
9,56.57,19.79,19.54,22.97,21.14,20.7,22.77,0.365
10,56.09,19.86,19.56,23.19,21.2,20.73,22.92,0.403
11,58.134,19.95,19.56,23.35,21.28,20.79,23.04,0.442
12,59.288,20.0,19.59,23.53,21.36,20.86,23.19,0.481
13,59.174,20.09,19.62,23.7,21.38,20.9,23.29,0.519
14,60.072,20.14,19.63,23.86,21.45,20.93,23.43,0.558
15,60.62,20.14,19.68,24.0,21.52,20.96,23.55,0.596
16,63.546,20.18,19.7,24.18,21.56,21.05,23.68,0.635
17,65.318,20.23,19.72,24.32,21.6,21.1,23.79,0.674
18,65.636,20.29,19.76,24.48,21.69,21.17,23.93,0.712
19,65.42,20.36,19.79,24.65,21.72,21.2,24.04,0.751
20,65.818,20.46,19.82,24.81,21.79,21.27,24.17,0.789
21,65.582,20.62,19.85,24.94,21.86,21.35,24.29,0.828
22,65.478,20.73,19.86,25.1,21.9,21.4,24.4,0.867
23,66.128,20.87,19.9,25.23,21.95,21.42,24.5,0.905
24,66.542,20.95,19.94,25.37,22.0,21.51,24.61,0.944
25,66.082,20.98,19.97,25.47,22.04,21.53,24.71,0.982
26,67.338,21.04,19.97,25.61,22.1,21.57,24.82,1.021
27,68.824,21.02,20.03,25.72,22.14,21.6,24.94,1.06
28,70.246,21.03,20.06,25.85,22.19,21.72,25.03,1.098
29,68.752,21.11,20.09,25.96,22.22,21.79,25.12,1.137
30,68.952,21.2,20.12,26.07,22.29,21.8,25.22,1.176
31,68.218,21.26,20.15,26.2,22.35,21.88,25.3,1.214
32,68.018,21.29,20.19,26.29,22.37,21.94,25.39,1.253
33,68.698,21.35,20.22,26.4,22.45,22.0,25.48,1.291
34,68.384,21.46,20.27,26.51,22.47,22.06,25.59,1.33
35,68.414,21.52,20.29,26.61,22.52,22.11,25.65,1.369
36,67.476,21.56,20.31,26.71,22.57,22.13,25.75,1.407
37,67.924,21.59,20.37,26.84,22.59,22.25,25.84,1.446
38,71.15,21.63,20.38,26.92,22.64,22.28,25.92,1.485
39,70.556,21.68,20.42,27.0,22.69,22.36,26.0,1.523
40,70.408,21.81,20.46,27.12,22.75,22.42,26.09,1.562
41,70.25,21.95,20.48,27.22,22.79,22.44,26.18,1.6
42,70.024,22.0,20.52,27.29,22.82,22.52,26.25,1.639
43,69.014,22.11,20.55,27.4,22.9,22.59,26.35,1.678
44,68.98,22.19,20.59,27.48,22.94,22.57,26.39,1.716
45,68.936,22.21,20.63,27.57,22.96,22.71,26.46,1.755
46,68.758,22.28,20.68,27.69,23.02,22.7,26.55,1.794
47,68.444,22.34,20.7,27.75,23.05,22.8,26.61,1.832
48,68.45,22.47,20.75,27.86,23.1,22.84,26.69,1.871
49,70.472,22.52,20.79,27.92,23.15,22.92,26.77,1.91
50,70.33,22.57,20.82,28.0,23.17,22.96,26.85,1.948
51,70.564,22.63,20.85,28.06,23.21,23.04,26.9,1.987
52,70.158,22.69,20.88,28.17,23.25,23.07,26.97,2.026
53,69.1,22.7,20.9,28.22,23.3,23.11,27.04,2.064
54,68.562,22.73,20.95,28.3,23.32,23.17,27.1,2.103
55,69.702,22.8,20.98,28.37,23.36,23.2,27.17,2.142
56,68.684,22.79,21.0,28.51,23.42,23.28,27.25,2.18
57,68.478,22.86,21.06,28.55,23.45,23.37,27.31,2.219
58,69.026,22.97,21.1,28.61,23.48,23.37,27.36,2.258
59,68.484,23.0,21.12,28.68,23.53,23.47,27.42,2.296
60,70.384,23.07,21.18,28.76,23.56,23.52,27.48,2.335
61,70.544,23.11,21.2,28.81,23.61,23.56,27.56,2.373
62,71.202,23.2,21.25,28.9,23.63,23.67,27.61,2.412
63,70.246,23.37,21.34,28.98,23.68,23.73,27.67,2.451
64,69.92,23.47,21.37,29.06,23.73,23.77,27.75,2.489
65,68.762,23.6,21.45,29.11,23.76,23.84,27.8,2.528
66,69.198,23.59,21.47,29.2,23.81,23.95,27.86,2.567
67,68.852,23.7,21.52,29.27,23.85,23.95,27.89,2.605
68,68.316,23.79,21.57,29.35,23.87,24.0,27.96,2.644
69,68.614,23.85,21.61,29.39,23.93,24.04,28.04,2.683
70,68.762,23.87,21.64,29.51,23.95,24.11,28.1,2.721
71,71.552,24.0,21.67,29.54,23.98,24.17,28.13,2.76
72,71.222,24.03,21.69,29.59,24.03,24.2,28.2,2.798
73,71.486,24.11,21.73,29.67,24.09,24.3,28.26,2.837
74,70.202,24.18,21.72,29.71,24.11,24.34,28.3,2.876
75,70.2,24.17,21.79,29.78,24.14,24.37,28.36,2.914
76,69.168,24.18,21.81,29.85,24.2,24.45,28.42,2.953
77,69.63,24.22,21.85,29.92,24.23,24.5,28.45,2.992
78,69.718,24.3,21.89,29.97,24.28,24.52,28.52,3.03
79,68.98,24.26,21.92,30.03,24.3,24.63,28.56,3.069
80,68.724,24.21,21.95,30.1,24.36,24.61,28.62,3.108
81,65.356,24.29,22.03,29.85,24.4,24.71,28.36,3.197
82,64.606,24.51,22.05,29.75,24.44,24.85,28.32,3.236
83,61.59,24.61,22.07,29.64,24.45,24.86,28.29,3.274
84,59.334,24.6,22.11,29.57,24.45,24.95,28.29,3.313
85,58.418,24.71,22.14,29.5,24.46,24.93,28.27,3.351
86,55.55,24.78,22.18,29.45,24.47,25.04,28.28,3.39
87,54.208,24.96,22.2,29.37,24.48,25.09,28.25,3.428
88,53.208,25.05,22.22,29.3,24.46,25.13,28.22,3.467
89,51.99,25.14,22.25,29.26,24.48,25.17,28.21,3.505
90,51.124,25.18,22.28,29.2,24.48,25.19,28.2,3.544
91,49.414,25.21,22.29,29.12,24.48,25.2,28.18,3.582
92,49.314,25.29,22.32,29.1,24.47,25.23,28.14,3.621
